iter	Recall	Logloss
0	0.7492844037	0.6887055589
1	0.7673394495	0.6844825433
2	0.7667522936	0.6801930263
3	0.7651376147	0.6762544843
4	0.7655045872	0.6724412357
5	0.7650642202	0.6682746706
6	0.7651376147	0.6639359158
7	0.7652844037	0.659965657
8	0.7660917431	0.6559849606
9	0.7649174312	0.6520040383
10	0.7666055046	0.6480561935
11	0.7649908257	0.6443112839
12	0.7642568807	0.6407733661
13	0.7632293578	0.6372326364
14	0.7594862385	0.6342229979
15	0.7591926606	0.6305196291
16	0.7586055046	0.6268258493
17	0.759412844	0.6233788841
18	0.7590458716	0.6198519925
19	0.7590458716	0.6167226108
20	0.7605137615	0.6135497316
21	0.760146789	0.6101536337
22	0.7591192661	0.6070968374
23	0.7578715596	0.6038032223
24	0.759853211	0.6012089402
25	0.7599266055	0.5983944531
26	0.7586788991	0.5958806803
27	0.7586788991	0.5928285787
28	0.7558165138	0.5900022542
29	0.7563302752	0.5869490445
30	0.7537614679	0.5844695424
31	0.7542752294	0.5815869894
32	0.7539082569	0.5790621226
33	0.7536880734	0.5763346271
34	0.7543486239	0.5741421736
35	0.7522201835	0.5717812916
36	0.751266055	0.5688144732
37	0.7517798165	0.5664074249
38	0.7531009174	0.5641409144
39	0.752293578	0.5617411189
40	0.7522201835	0.5595775129
41	0.751559633	0.5570987662
42	0.751706422	0.5549162402
43	0.751412844	0.5525249767
44	0.751266055	0.5502800244
45	0.7510458716	0.5482672938
46	0.7510458716	0.5462246189
47	0.7509724771	0.5439056668
48	0.7506788991	0.5416472408
49	0.7509724771	0.5396428208
50	0.7510458716	0.5375843395
51	0.7508990826	0.5354284455
52	0.7508256881	0.5333885219
53	0.7507522936	0.5314404734
54	0.751559633	0.5295793806
55	0.751266055	0.5275605943
56	0.7505321101	0.5258485653
57	0.7492844037	0.5244730171
58	0.7497981651	0.5224472191
59	0.7501651376	0.5206520645
60	0.7506055046	0.5187731008
61	0.7493577982	0.5174752183
62	0.7494311927	0.5157272804
63	0.7485504587	0.5142181971
64	0.7486238532	0.5127470971
65	0.7486972477	0.5112047183
66	0.7488440367	0.5095618488
67	0.7489174312	0.5076838022
68	0.7488440367	0.5062709912
69	0.7488440367	0.5046149898
70	0.7493577982	0.5029606664
71	0.7493577982	0.50161675
72	0.7494311927	0.4999939818
73	0.7494311927	0.498356537
74	0.7495045872	0.4968520533
75	0.7495045872	0.4953311755
76	0.7496513761	0.493767394
77	0.7495045872	0.4924660523
78	0.7500183486	0.4910864412
79	0.7499449541	0.4898492214
80	0.7499449541	0.4885472293
81	0.7505321101	0.4870882726
82	0.7507522936	0.4856604609
83	0.7508990826	0.4845611768
84	0.7506788991	0.4831136848
85	0.7508990826	0.4816568382
86	0.7508256881	0.4803719746
87	0.7508256881	0.4791090019
88	0.751266055	0.4781602782
89	0.7511926606	0.4768698363
90	0.7513394495	0.4756107388
91	0.7513394495	0.4744932507
92	0.751412844	0.4734711644
93	0.7514862385	0.472234175
94	0.751559633	0.4711396377
95	0.7516330275	0.4699784442
96	0.7516330275	0.4689424447
97	0.751412844	0.4676904726
98	0.751412844	0.4667432255
99	0.7514862385	0.4657693114
100	0.7513394495	0.4647113702
101	0.751559633	0.4635822407
102	0.7513394495	0.4624772154
103	0.7514862385	0.4615965558
104	0.751412844	0.4605646496
105	0.751559633	0.4595150995
106	0.751412844	0.4585382384
107	0.7516330275	0.4576341564
108	0.751412844	0.456673045
109	0.7514862385	0.4558117346
110	0.751559633	0.4548986463
111	0.7516330275	0.4539560874
112	0.751706422	0.4530730895
113	0.751853211	0.452209324
114	0.7519266055	0.4513095932
115	0.7516330275	0.4504832248
116	0.751559633	0.4494690136
117	0.7511926606	0.4486983875
118	0.7511926606	0.4477554168
