iter	Passed	Remaining
0	93	939644
1	111	558201
2	127	426499
3	150	376054
4	171	343289
5	190	318030
6	207	295862
7	226	283399
8	244	271257
9	259	259440
10	274	249635
11	293	244615
12	323	248280
13	339	242197
14	358	238963
15	376	234779
16	392	230631
17	414	229738
18	430	226199
19	445	222469
20	469	223140
21	489	221913
22	505	219457
23	523	217446
24	537	214356
25	559	214646
26	574	212310
27	595	212140
28	624	214685
29	639	212575
30	655	210844
31	670	208817
32	689	208314
33	709	207942
34	724	206407
35	740	204877
36	757	203907
37	772	202501
38	792	202299
39	807	201115
40	834	202602
41	860	203998
42	922	213636
43	967	219031
44	1031	228149
45	1091	236131
46	1114	235979
47	1129	234243
48	1145	232653
49	1160	230850
50	1178	229981
51	1192	228158
52	1211	227392
53	1225	225715
54	1242	224649
55	1256	223109
56	1276	222639
57	1290	221272
58	1305	219924
59	1322	219059
60	1337	217888
61	1357	217646
62	1371	216269
63	1393	216339
64	1412	215889
65	1427	214795
66	1445	214291
67	1459	213244
68	1476	212540
69	1491	211585
70	1510	211169
71	1525	210317
72	1546	210362
73	1561	209394
74	1576	208623
75	1592	207882
76	1607	207122
77	1625	206712
78	1643	206336
79	1658	205644
80	1674	205101
81	1689	204358
82	1710	204334
83	1725	203714
84	1749	204020
85	1763	203262
86	1793	204383
87	1811	204082
88	1836	204551
89	1850	203734
90	1868	203453
91	1883	202851
92	1898	202198
93	1917	202070
94	1934	201684
95	1949	201138
96	1964	200553
97	1985	200615
98	1999	199944
99	2021	200127
100	2049	200910
101	2065	200415
102	2081	199998
103	2100	199833
104	2114	199258
105	2132	199010
106	2146	198463
107	2161	198008
108	2177	197603
109	2192	197084
110	2211	196997
111	2226	196549
112	2246	196599
113	2261	196137
114	2277	195807
115	2291	195289
116	2309	195103
117	2324	194650
118	2344	194651
119	2360	194344
120	2375	193922
121	2389	193453
122	2410	193586
123	2441	194426
124	2459	194290
125	2475	193959
126	2491	193681
127	2506	193348
128	2521	192939
129	2541	192938
130	2555	192542
131	2573	192403
132	2589	192082
